ParticipantName	FixationIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	MediaName
ID01	1.0	Fixation	638	750.0	692.0	N/A
ID01	2.0	Fixation	179	662.0	500.0	N/A
ID01	3.0	Fixation	179	645.0	387.0	N/A
ID01	4.0	Fixation	199	643.0	122.0	N/A
ID01	5.0	Fixation	219	643.0	122.0	N/A
ID01	6.0	Fixation	419	232.0	45.0	N/A
ID01	7.0	Fixation	399	645.0	387.0	N/A
ID01	8.0	Fixation	239	643.0	197.0	N/A
ID01	9.0	Fixation	180	643.0	197.0	N/A
ID01	10.0	Fixation	259	645.0	387.0	N/A
ID01	11.0	Fixation	578	645.0	387.0	N/A
ID01	12.0	Fixation	239	645.0	387.0	N/A
ID01	13.0	Fixation	359	645.0	387.0	N/A
ID01	14.0	Fixation	239	643.0	122.0	N/A
ID01	15.0	Fixation	259	643.0	122.0	N/A
ID01	16.0	Fixation	239	360.0	45.0	N/A
ID01	17.0	Fixation	359	635.0	265.0	N/A
ID01	18.0	Fixation	199	645.0	387.0	N/A
ID01	19.0	Fixation	219	643.0	197.0	N/A
ID01	20.0	Fixation	219	750.0	692.0	N/A
ID01	21.0	Fixation	159	750.0	692.0	N/A
ID01	22.0	Fixation	219	645.0	387.0	N/A
ID01	23.0	Fixation	199	643.0	197.0	N/A
ID01	24.0	Fixation	160	645.0	387.0	N/A
ID01	25.0	Fixation	977	645.0	387.0	N/A
ID01	26.0	Fixation	399	645.0	387.0	N/A
ID01	27.0	Fixation	399	645.0	387.0	N/A
ID01	28.0	Fixation	478	645.0	387.0	N/A
ID01	29.0	Fixation	239	645.0	387.0	N/A
ID01	30.0	Fixation	140	645.0	387.0	N/A
ID01	31.0	Fixation	200	643.0	197.0	N/A
ID01	32.0	Fixation	279	643.0	122.0	N/A
ID01	33.0	Fixation	159	645.0	387.0	N/A
ID01	34.0	Fixation	199	645.0	387.0	N/A
ID01	35.0	Fixation	578	645.0	387.0	N/A
ID01	36.0	Fixation	279	645.0	387.0	N/A
ID01	37.0	Fixation	219	645.0	387.0	N/A
ID01	38.0	Fixation	618	635.0	265.0	N/A
ID01	39.0	Fixation	239	645.0	387.0	N/A
ID01	40.0	Fixation	322	550.0	692.0	N/A
ID01	41.0	Fixation	157	750.0	692.0	N/A
ID01	42.0	Fixation	159	645.0	387.0	N/A
ID01	43.0	Fixation	100	750.0	692.0	N/A
ID01	44.0	Fixation	120	645.0	387.0	N/A
ID01	45.0	Fixation	239	645.0	387.0	N/A
