ParticipantName	FixationIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	MediaName
ID01	1.0	Fixation	618	625.0	800.0	N/A
ID01	2.0	Fixation	219	717.0	396.0	N/A
ID01	3.0	Fixation	259	300.0	495.0	N/A
ID01	4.0	Fixation	159	717.0	396.0	N/A
ID01	5.0	Fixation	498	625.0	800.0	N/A
ID01	6.0	Fixation	319	717.0	396.0	N/A
ID01	7.0	Fixation	279	300.0	495.0	N/A
ID01	8.0	Fixation	499	717.0	396.0	N/A
ID01	9.0	Fixation	200	235.0	294.0	N/A
ID01	10.0	Fixation	100	717.0	396.0	N/A
ID01	11.0	Fixation	1077	717.0	396.0	N/A
ID01	12.0	Fixation	419	235.0	294.0	N/A
ID01	13.0	Fixation	498	300.0	495.0	N/A
ID01	14.0	Fixation	200	375.0	800.0	N/A
ID01	15.0	Fixation	239	717.0	396.0	N/A
ID01	16.0	Fixation	179	904.0	35.0	N/A
ID01	17.0	Fixation	219	904.0	35.0	N/A
ID01	18.0	Fixation	219	235.0	294.0	N/A
ID01	19.0	Fixation	259	153.0	495.0	N/A
ID01	20.0	Fixation	399	153.0	495.0	N/A
ID01	21.0	Fixation	498	153.0	495.0	N/A
ID01	22.0	Fixation	738	153.0	495.0	N/A
ID01	23.0	Fixation	498	153.0	495.0	N/A
ID01	24.0	Fixation	379	153.0	495.0	N/A
ID01	25.0	Fixation	219	300.0	495.0	N/A
ID01	26.0	Fixation	2014	153.0	495.0	N/A
ID01	27.0	Fixation	459	153.0	495.0	N/A
ID01	28.0	Fixation	199	125.0	800.0	N/A
ID01	29.0	Fixation	159	125.0	800.0	N/A
ID01	30.0	Fixation	479	153.0	495.0	N/A
ID01	31.0	Fixation	997	300.0	495.0	N/A
ID01	32.0	Fixation	359	300.0	495.0	N/A
ID01	33.0	Fixation	299	300.0	495.0	N/A
ID01	34.0	Fixation	379	300.0	495.0	N/A
ID01	35.0	Fixation	219	717.0	396.0	N/A
ID01	36.0	Fixation	259	625.0	800.0	N/A
ID01	37.0	Fixation	199	875.0	800.0	N/A
ID01	38.0	Fixation	179	625.0	800.0	N/A
ID01	39.0	Fixation	199	375.0	800.0	N/A
ID01	40.0	Fixation	299	125.0	800.0	N/A
ID01	41.0	Fixation	239	153.0	495.0	N/A
ID01	42.0	Fixation	419	300.0	495.0	N/A
ID01	43.0	Fixation	279	717.0	396.0	N/A
ID01	44.0	Fixation	319	625.0	800.0	N/A
ID01	45.0	Fixation	259	375.0	800.0	N/A
ID01	46.0	Fixation	199	375.0	800.0	N/A
ID01	47.0	Fixation	279	240.0	965.0	N/A
ID01	48.0	Fixation	319	153.0	495.0	N/A
ID01	49.0	Fixation	160	235.0	294.0	N/A
ID01	50.0	Fixation	179	717.0	396.0	N/A
ID01	51.0	Fixation	1077	904.0	35.0	N/A
ID01	52.0	Fixation	219	904.0	35.0	N/A
ID01	53.0	Fixation	479	904.0	35.0	N/A
ID01	54.0	Fixation	199	904.0	35.0	N/A
ID01	55.0	Fixation	219	904.0	35.0	N/A
ID01	56.0	Fixation	159	904.0	35.0	N/A
ID01	57.0	Fixation	259	904.0	35.0	N/A
ID01	58.0	Fixation	499	904.0	35.0	N/A
ID01	59.0	Fixation	458	904.0	35.0	N/A
ID01	60.0	Fixation	498	904.0	35.0	N/A
ID02	1.0	Fixation	347	625.0	800.0	N/A
ID02	2.0	Fixation	120	717.0	396.0	N/A
ID02	3.0	Fixation	199	717.0	396.0	N/A
ID02	4.0	Fixation	259	235.0	294.0	N/A
ID02	5.0	Fixation	239	300.0	495.0	N/A
ID02	6.0	Fixation	239	717.0	396.0	N/A
ID02	7.0	Fixation	99	235.0	294.0	N/A
ID02	8.0	Fixation	259	235.0	294.0	N/A
ID02	9.0	Fixation	418	717.0	396.0	N/A
ID02	10.0	Fixation	199	717.0	396.0	N/A
ID02	11.0	Fixation	259	717.0	396.0	N/A
ID02	12.0	Fixation	120	717.0	396.0	N/A
ID02	13.0	Fixation	100	717.0	396.0	N/A
ID02	14.0	Fixation	180	875.0	800.0	N/A
ID02	15.0	Fixation	140	235.0	294.0	N/A
ID02	16.0	Fixation	199	235.0	294.0	N/A
ID02	17.0	Fixation	179	235.0	294.0	N/A
ID02	18.0	Fixation	339	717.0	396.0	N/A
ID02	19.0	Fixation	180	717.0	396.0	N/A
ID02	20.0	Fixation	399	153.0	495.0	N/A
ID02	21.0	Fixation	299	300.0	495.0	N/A
ID02	22.0	Fixation	199	125.0	800.0	N/A
ID02	23.0	Fixation	219	125.0	800.0	N/A
ID02	24.0	Fixation	180	625.0	800.0	N/A
ID02	25.0	Fixation	219	625.0	800.0	N/A
ID02	26.0	Fixation	199	875.0	800.0	N/A
ID02	27.0	Fixation	419	717.0	396.0	N/A
ID02	28.0	Fixation	239	717.0	396.0	N/A
ID02	29.0	Fixation	239	625.0	800.0	N/A
ID02	30.0	Fixation	199	625.0	800.0	N/A
ID02	31.0	Fixation	379	717.0	396.0	N/A
ID02	32.0	Fixation	239	717.0	396.0	N/A
ID02	33.0	Fixation	279	875.0	800.0	N/A
ID02	34.0	Fixation	219	375.0	800.0	N/A
ID02	35.0	Fixation	139	375.0	800.0	N/A
ID02	36.0	Fixation	279	125.0	800.0	N/A
ID02	37.0	Fixation	299	300.0	495.0	N/A
ID02	38.0	Fixation	219	235.0	294.0	N/A
ID02	39.0	Fixation	219	300.0	495.0	N/A
ID02	40.0	Fixation	339	300.0	495.0	N/A
ID02	41.0	Fixation	319	300.0	495.0	N/A
ID02	42.0	Fixation	219	300.0	495.0	N/A
ID02	43.0	Fixation	798	300.0	495.0	N/A
ID02	44.0	Fixation	1057	300.0	495.0	N/A
ID02	45.0	Fixation	917	300.0	495.0	N/A
ID02	46.0	Fixation	419	300.0	495.0	N/A
ID02	47.0	Fixation	179	153.0	495.0	N/A
ID02	48.0	Fixation	339	717.0	396.0	N/A
ID02	49.0	Fixation	299	717.0	396.0	N/A
ID02	50.0	Fixation	180	235.0	294.0	N/A
ID02	51.0	Fixation	279	717.0	396.0	N/A
ID02	52.0	Fixation	299	904.0	35.0	N/A
ID02	53.0	Fixation	299	717.0	396.0	N/A
ID02	54.0	Fixation	199	625.0	800.0	N/A
ID02	55.0	Fixation	120	875.0	800.0	N/A
ID02	56.0	Fixation	259	625.0	800.0	N/A
ID02	57.0	Fixation	259	717.0	396.0	N/A
ID02	58.0	Fixation	140	717.0	396.0	N/A
ID02	59.0	Fixation	259	375.0	800.0	N/A
ID02	60.0	Fixation	718	125.0	800.0	N/A
ID02	61.0	Fixation	299	125.0	800.0	N/A
ID02	62.0	Fixation	259	300.0	495.0	N/A
ID02	63.0	Fixation	180	153.0	495.0	N/A
ID02	64.0	Fixation	219	235.0	294.0	N/A
ID02	65.0	Fixation	120	235.0	294.0	N/A
ID02	66.0	Fixation	279	904.0	35.0	N/A
ID02	67.0	Fixation	239	904.0	35.0	N/A
ID02	68.0	Fixation	339	904.0	35.0	N/A
ID02	69.0	Fixation	239	904.0	35.0	N/A
ID02	70.0	Fixation	259	904.0	35.0	N/A
ID02	71.0	Fixation	2851	904.0	35.0	N/A
ID03	1.0	Fixation	179	235.0	294.0	N/A
ID03	2.0	Fixation	239	904.0	35.0	N/A
ID03	3.0	Fixation	399	717.0	396.0	N/A
ID03	4.0	Fixation	319	717.0	396.0	N/A
ID03	5.0	Fixation	399	717.0	396.0	N/A
ID03	6.0	Fixation	1455	717.0	396.0	N/A
ID03	7.0	Fixation	319	717.0	396.0	N/A
ID03	8.0	Fixation	618	717.0	396.0	N/A
ID03	9.0	Fixation	518	300.0	495.0	N/A
ID03	10.0	Fixation	498	300.0	495.0	N/A
ID03	11.0	Fixation	199	153.0	495.0	N/A
ID03	12.0	Fixation	638	300.0	495.0	N/A
ID03	13.0	Fixation	180	125.0	800.0	N/A
ID03	14.0	Fixation	299	300.0	495.0	N/A
ID03	15.0	Fixation	499	717.0	396.0	N/A
ID03	16.0	Fixation	339	300.0	495.0	N/A
ID03	17.0	Fixation	239	300.0	495.0	N/A
ID03	18.0	Fixation	259	153.0	495.0	N/A
ID03	19.0	Fixation	319	300.0	495.0	N/A
ID03	20.0	Fixation	379	300.0	495.0	N/A
ID03	21.0	Fixation	359	153.0	495.0	N/A
ID03	22.0	Fixation	379	300.0	495.0	N/A
ID03	23.0	Fixation	339	375.0	800.0	N/A
ID03	24.0	Fixation	518	300.0	495.0	N/A
ID03	25.0	Fixation	219	717.0	396.0	N/A
ID03	26.0	Fixation	1117	300.0	495.0	N/A
ID03	27.0	Fixation	1495	300.0	495.0	N/A
ID03	28.0	Fixation	159	300.0	495.0	N/A
ID03	29.0	Fixation	419	235.0	294.0	N/A
