ParticipantName	FixationIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	MediaName
ID01	1.0	Fixation	379	501.0	574.0	N/A
ID01	2.0	Fixation	140	501.0	574.0	N/A
ID01	3.0	Fixation	359	501.0	574.0	N/A
ID01	4.0	Fixation	180	501.0	574.0	N/A
ID01	5.0	Fixation	379	501.0	574.0	N/A
ID01	6.0	Fixation	200	501.0	574.0	N/A
ID01	7.0	Fixation	398	501.0	574.0	N/A
ID01	8.0	Fixation	199	499.0	272.0	N/A
ID01	9.0	Fixation	219	499.0	192.0	N/A
ID01	10.0	Fixation	219	308.0	112.0	N/A
ID01	11.0	Fixation	140	203.0	30.0	N/A
ID01	12.0	Fixation	160	501.0	574.0	N/A
ID01	13.0	Fixation	299	501.0	574.0	N/A
ID01	14.0	Fixation	259	501.0	574.0	N/A
ID01	15.0	Fixation	179	499.0	272.0	N/A
ID01	16.0	Fixation	179	499.0	192.0	N/A
ID01	17.0	Fixation	259	499.0	272.0	N/A
ID01	18.0	Fixation	160	187.0	115.0	N/A
ID01	19.0	Fixation	179	187.0	115.0	N/A
ID01	20.0	Fixation	179	445.0	112.0	N/A
ID01	21.0	Fixation	319	892.0	85.0	N/A
ID01	22.0	Fixation	399	772.0	35.0	N/A
ID01	23.0	Fixation	219	962.0	29.0	N/A
ID01	24.0	Fixation	239	772.0	35.0	N/A
ID01	25.0	Fixation	180	501.0	932.0	N/A
ID01	26.0	Fixation	339	501.0	932.0	N/A
ID01	27.0	Fixation	179	892.0	115.0	N/A
ID01	28.0	Fixation	7855	772.0	35.0	N/A
ID01	29.0	Fixation	239	892.0	115.0	N/A
ID01	30.0	Fixation	219	501.0	932.0	N/A
ID01	31.0	Fixation	458	501.0	932.0	N/A
ID01	32.0	Fixation	239	501.0	932.0	N/A
ID01	33.0	Fixation	219	501.0	932.0	N/A
ID01	34.0	Fixation	339	501.0	574.0	N/A
ID01	35.0	Fixation	199	499.0	272.0	N/A
ID01	36.0	Fixation	200	499.0	272.0	N/A
ID01	37.0	Fixation	259	499.0	272.0	N/A
ID01	38.0	Fixation	239	501.0	574.0	N/A
ID01	39.0	Fixation	199	501.0	574.0	N/A
ID01	40.0	Fixation	159	501.0	574.0	N/A
ID01	41.0	Fixation	199	499.0	272.0	N/A
ID01	42.0	Fixation	140	499.0	192.0	N/A
ID01	43.0	Fixation	199	187.0	115.0	N/A
ID01	44.0	Fixation	219	499.0	272.0	N/A
ID01	45.0	Fixation	239	499.0	272.0	N/A
ID01	46.0	Fixation	459	499.0	272.0	N/A
ID01	47.0	Fixation	239	499.0	272.0	N/A
ID01	48.0	Fixation	339	499.0	272.0	N/A
ID01	49.0	Fixation	339	499.0	272.0	N/A
ID01	50.0	Fixation	179	499.0	272.0	N/A
ID01	51.0	Fixation	259	499.0	272.0	N/A
ID01	52.0	Fixation	259	499.0	272.0	N/A
ID01	53.0	Fixation	180	499.0	192.0	N/A
ID01	54.0	Fixation	279	499.0	192.0	N/A
ID01	55.0	Fixation	379	499.0	272.0	N/A
