ParticipantName	FixationIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	MediaName
ID01	1.0	Fixation	359	625.0	800.0	N/A
ID01	2.0	Fixation	179	300.0	495.0	N/A
ID01	3.0	Fixation	140	235.0	294.0	N/A
ID01	4.0	Fixation	279	235.0	294.0	N/A
ID01	5.0	Fixation	299	717.0	396.0	N/A
ID01	6.0	Fixation	279	235.0	294.0	N/A
ID01	7.0	Fixation	199	235.0	294.0	N/A
ID01	8.0	Fixation	219	717.0	396.0	N/A
ID01	9.0	Fixation	179	625.0	800.0	N/A
ID01	10.0	Fixation	239	375.0	800.0	N/A
ID01	11.0	Fixation	179	300.0	495.0	N/A
ID01	12.0	Fixation	339	153.0	495.0	N/A
ID01	13.0	Fixation	219	235.0	294.0	N/A
ID01	14.0	Fixation	319	717.0	396.0	N/A
ID01	15.0	Fixation	219	235.0	294.0	N/A
ID01	16.0	Fixation	120	235.0	294.0	N/A
ID01	17.0	Fixation	399	717.0	396.0	N/A
ID01	18.0	Fixation	159	717.0	396.0	N/A
ID01	19.0	Fixation	199	300.0	495.0	N/A
ID01	20.0	Fixation	439	153.0	495.0	N/A
ID01	21.0	Fixation	479	717.0	396.0	N/A
ID01	22.0	Fixation	339	375.0	800.0	N/A
ID01	23.0	Fixation	240	625.0	800.0	N/A
ID01	24.0	Fixation	179	625.0	800.0	N/A
ID01	25.0	Fixation	239	300.0	495.0	N/A
ID01	26.0	Fixation	180	153.0	495.0	N/A
ID01	27.0	Fixation	199	235.0	294.0	N/A
ID01	28.0	Fixation	279	717.0	396.0	N/A
ID01	29.0	Fixation	498	717.0	396.0	N/A
ID01	30.0	Fixation	299	717.0	396.0	N/A
ID01	31.0	Fixation	239	717.0	396.0	N/A
ID01	32.0	Fixation	359	717.0	396.0	N/A
ID01	33.0	Fixation	738	717.0	396.0	N/A
ID01	34.0	Fixation	299	235.0	294.0	N/A
ID01	35.0	Fixation	159	235.0	294.0	N/A
ID01	36.0	Fixation	299	717.0	396.0	N/A
ID01	37.0	Fixation	499	717.0	396.0	N/A
ID01	38.0	Fixation	279	717.0	396.0	N/A
ID01	39.0	Fixation	159	717.0	396.0	N/A
ID01	40.0	Fixation	199	235.0	294.0	N/A
ID01	41.0	Fixation	199	625.0	800.0	N/A
ID01	42.0	Fixation	259	625.0	800.0	N/A
ID01	43.0	Fixation	259	375.0	800.0	N/A
ID01	44.0	Fixation	179	375.0	800.0	N/A
ID01	45.0	Fixation	219	375.0	800.0	N/A
ID01	46.0	Fixation	159	625.0	800.0	N/A
